codice_istat,denominazione_ita_altra,denominazione_ita,denominazione_altra,cap,sigla_provincia,denominazione_provincia,tipologia_provincia,codice_regione,denominazione_regione,tipologia_regione,ripartizione_geografica,flag_capoluogo,codice_belfiore,lat,lon,superficie_kmq,,,
1087,Claviere,Claviere,,10050,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C793,44,9386158,6,7493064,2,6872
1088,Coassolo Torinese,Coassolo Torinese,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C801,45,3007164,7,4613293,27,8788
1089,Coazze,Coazze,,10050,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C803,45,514173,7,2946436,56,5727
1090,Collegno,Collegno,,10093,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C860,45,774011,7,5691295,18,993
1091,Colleretto Castelnuovo,Colleretto Castelnuovo,,10080,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C867,45,4214111,7,6789816,6,3321
1092,Colleretto Giacosa,Colleretto Giacosa,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C868,45,4328929,7,7999643,4,5894
1093,Condove,Condove,,10055,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,C955,45,1171436,7,3107299,71,1131
1094,Corio,Corio,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D008,45,3127462,7,5325615,41,4914
1095,Cossano Canavese,Cossano Canavese,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D092,45,3883351,7,9933732,3,2384
1096,Cuceglio,Cuceglio,,10090,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D197,45,3589326,7,8148439,6,8709
1097,Cumiana,Cumiana,,10040,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D202,44,9827939,7,3743768,60,7335
1098,Cuorgnè,Cuorgnè,,10082,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D208,45,3912313,7,6489149,19,3134
1099,Druento,Druento,,10040,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D373,45,1347332,7,5762042,27,5395
1100,Exilles,Exilles,,10050,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D433,45,974909,6,9296242,46,5474
1101,Favria,Favria,,10083,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D520,45,3328504,7,6880143,14,8499
1102,Feletto,Feletto,,10080,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D524,45,3054940,7,7471079,7,8931
1103,Fenestrelle,Fenestrelle,,10060,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D532,45,342952,7,518867,49,4091
1104,Fiano,Fiano,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D562,45,2181230,7,5197835,12,415
1105,Fiorano Canavese,Fiorano Canavese,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D608,45,4675752,7,8289773,4,3457
1106,Foglizzo,Foglizzo,,10090,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D646,45,2720198,7,8231787,15,6427
1107,Forno Canavese,Forno Canavese,,10084,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D725,45,3468407,7,5867804,16,5003
1108,Frassinetto,Frassinetto,,10080,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D781,45,4360373,7,6056789,24,8185
1109,Front,Front,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D805,45,2795532,7,6655965,10,9482
1110,Frossasco,Frossasco,,10060,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D812,44,9336199,7,3507705,20,1488
1111,Garzigliana,Garzigliana,,10060,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D931,44,8367717,7,3747313,7,4018
1112,Gassino Torinese,Gassino Torinese,,10090,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D933,45,1274531,7,8248966,20,5108
1113,Germagnano,Germagnano,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D983,45,2621833,7,4668644,14,4442
1114,Giaglione,Giaglione,,10050,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E009,45,1396886,7,141385,33,3833
1115,Giaveno,Giaveno,,10094,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E020,45,447522,7,3530865,71,7376
1116,Givoletto,Givoletto,,10040,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E067,45,1587801,7,4967729,12,8199
1117,Gravere,Gravere,,10050,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E154,45,1239188,7,210728,18,9870
1118,Groscavallo,Groscavallo,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E199,45,3689574,7,2822951,92,935
1119,Grosso,Grosso,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E203,45,2563694,7,5566335,4,3296
1120,Grugliasco,Grugliasco,,10095,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E216,45,621103,7,5778006,13,1321
1121,Ingria,Ingria,,10080,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E301,45,4662964,7,5708626,14,7506
1122,Inverso Pinasca,Inverso Pinasca,,10060,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E311,44,9472274,7,2159640,8,292
1123,Isolabella,Isolabella,,10046,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E345,44,9066417,7,9092678,4,7716
1124,Issiglio,Issiglio,,10080,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E368,45,4468144,7,7541627,5,5042
1125,Ivrea,Ivrea,,10015,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E379,45,4661941,7,8759668,30,1075
1126,La Cassa,La Cassa,,10040,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E394,45,1818247,7,5191300,12,353
1127,La Loggia,La Loggia,,10040,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E423,44,9566759,7,6677072,12,7929
1128,Lanzo Torinese,Lanzo Torinese,,10074,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E445,45,2723224,7,4766155,10,2876
1129,Lauriano,Lauriano,,10020,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E484,45,1584557,7,9916695,14,2900
1130,Leini,Leini,,10040,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E518,45,1839381,7,7151076,31,9191
1131,Lemie,Lemie,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E520,45,2285585,7,2928817,45,6753
1132,Lessolo,Lessolo,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E551,45,4761616,7,8142197,7,9366
1133,Levone,Levone,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E566,45,3181072,7,6059006,5,3912
1134,Locana,Locana,,10080,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E635,45,4169972,7,4612623,132,5173
1135,Lombardore,Lombardore,,10040,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E660,45,2357094,7,7362669,12,7158
1136,Lombriasco,Lombriasco,,10040,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E661,44,8415984,7,6357788,7,2096
1137,Loranzè,Loranzè,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E683,45,4422362,7,8108710,4,1914
1139,Luserna San Giovanni,Luserna San Giovanni,,10062,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E758,44,8143175,7,2457908,17,7414
1140,Lusernetta,Lusernetta,,10060,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E759,44,8023618,7,2502360,7,398
1141,Lusigliè,Lusigliè,,10080,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E763,45,3185684,7,7664666,5,2585
1142,Macello,Macello,,10060,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E782,44,8511751,7,4007927,14,1404
1143,Maglione,Maglione,,10030,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E817,45,3477069,8,117445,6,3129
1144,Marentino,Marentino,,10020,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,E941,45,580041,7,8733297,11,2593
1145,Massello,Massello,,10060,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F041,44,9585595,7,563128,38,2587
1146,Mathi,Mathi,,10075,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F053,45,2566436,7,5413209,7,706
1147,Mattie,Mattie,,10050,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F058,45,1187055,7,1121519,28,6942
1148,Mazzè,Mazzè,,10035,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F067,45,2985390,7,9370016,27,3424
1149,Meana di Susa,Meana di Susa,,10050,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F074,45,1207336,7,681407,16,5439
1150,Mercenasco,Mercenasco,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F140,45,3569822,7,8825668,12,6383
1152,Mezzenile,Mezzenile,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F182,45,2924068,7,3950199,29,871
1153,Mombello di Torino,Mombello di Torino,,10020,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F315,45,463992,7,9195483,4,825
1154,Mompantero,Mompantero,,10059,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F318,45,1399072,7,579733,30,3332
1155,Monastero di Lanzo,Monastero di Lanzo,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F327,45,3014274,7,4391322,17,6554
1156,Moncalieri,Moncalieri,,10024,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F335,45,9240,7,6852479,47,5288
1157,Moncenisio,Moncenisio,,10050,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,D553,45,2052902,6,9835609,4,5007
1158,Montaldo Torinese,Montaldo Torinese,,10020,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F407,45,663638,7,8508936,4,6567
1159,Montalenghe,Montalenghe,,10090,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F411,45,3377263,7,8398563,6,4681
1160,Montalto Dora,Montalto Dora,,10016,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F420,45,4936297,7,8637946,7,3567
1161,Montanaro,Montanaro,,10017,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F422,45,2328961,7,8528256,20,9036
1162,Monteu da Po,Monteu da Po,,10020,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F651,45,1505427,8,147845,7,3896
1163,Moriondo Torinese,Moriondo Torinese,,10020,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F733,45,390614,7,9440556,6,4895
1164,Nichelino,Nichelino,,10042,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F889,44,9951889,7,6473727,20,5627
1165,Noasca,Noasca,,10080,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F906,45,4530560,7,3135435,78,481
1166,Nole,Nole,,10076,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,F925,45,2452388,7,5701212,11,3530
